"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"10/01/2017 07:00:00 - 10/01/2017 08:00:00","BZN|DK1","Without Sequence","31.00","",""
"10/01/2017 08:00:00 - 10/01/2017 09:00:00","BZN|DK1","Without Sequence","31.31","",""
"10/01/2017 09:00:00 - 10/01/2017 10:00:00","BZN|DK1","Without Sequence","31.22","",""
"10/01/2017 10:00:00 - 10/01/2017 11:00:00","BZN|DK1","Without Sequence","31.14","",""
"10/01/2017 11:00:00 - 10/01/2017 12:00:00","BZN|DK1","Without Sequence","31.06","",""
"10/01/2017 12:00:00 - 10/01/2017 13:00:00","BZN|DK1","Without Sequence","30.99","",""
"10/01/2017 13:00:00 - 10/01/2017 14:00:00","BZN|DK1","Without Sequence","31.00","",""
"10/01/2017 14:00:00 - 10/01/2017 15:00:00","BZN|DK1","Without Sequence","31.01","",""
"10/01/2017 15:00:00 - 10/01/2017 16:00:00","BZN|DK1","Without Sequence","31.03","",""
"10/01/2017 16:00:00 - 10/01/2017 17:00:00","BZN|DK1","Without Sequence","31.19","",""
"10/01/2017 17:00:00 - 10/01/2017 18:00:00","BZN|DK1","Without Sequence","31.19","",""
"10/01/2017 18:00:00 - 10/01/2017 19:00:00","BZN|DK1","Without Sequence","31.02","",""
"10/01/2017 19:00:00 - 10/01/2017 20:00:00","BZN|DK1","Without Sequence","30.54","",""
"10/01/2017 20:00:00 - 10/01/2017 21:00:00","BZN|DK1","Without Sequence","29.81","",""
"10/01/2017 21:00:00 - 10/01/2017 22:00:00","BZN|DK1","Without Sequence","29.55","",""
"10/01/2017 22:00:00 - 10/01/2017 23:00:00","BZN|DK1","Without Sequence","29.15","",""
"10/01/2017 23:00:00 - 11/01/2017 00:00:00","BZN|DK1","Without Sequence","28.08","",""
"11/01/2017 00:00:00 - 11/01/2017 01:00:00","BZN|DK1","Without Sequence","24.38","",""
"11/01/2017 01:00:00 - 11/01/2017 02:00:00","BZN|DK1","Without Sequence","22.78","",""
"11/01/2017 02:00:00 - 11/01/2017 03:00:00","BZN|DK1","Without Sequence","22.05","",""
"11/01/2017 03:00:00 - 11/01/2017 04:00:00","BZN|DK1","Without Sequence","22.10","",""
"11/01/2017 04:00:00 - 11/01/2017 05:00:00","BZN|DK1","Without Sequence","23.60","",""
"11/01/2017 05:00:00 - 11/01/2017 06:00:00","BZN|DK1","Without Sequence","24.35","",""
"11/01/2017 06:00:00 - 11/01/2017 07:00:00","BZN|DK1","Without Sequence","27.82","",""
"11/01/2017 07:00:00 - 11/01/2017 08:00:00","BZN|DK1","Without Sequence","28.96","",""
"11/01/2017 08:00:00 - 11/01/2017 09:00:00","BZN|DK1","Without Sequence","29.14","",""
"11/01/2017 09:00:00 - 11/01/2017 10:00:00","BZN|DK1","Without Sequence","29.12","",""
"11/01/2017 10:00:00 - 11/01/2017 11:00:00","BZN|DK1","Without Sequence","29.15","",""
"11/01/2017 11:00:00 - 11/01/2017 12:00:00","BZN|DK1","Without Sequence","29.16","",""
"11/01/2017 12:00:00 - 11/01/2017 13:00:00","BZN|DK1","Without Sequence","29.17","",""
"11/01/2017 13:00:00 - 11/01/2017 14:00:00","BZN|DK1","Without Sequence","29.13","",""
"11/01/2017 14:00:00 - 11/01/2017 15:00:00","BZN|DK1","Without Sequence","29.15","",""
"11/01/2017 15:00:00 - 11/01/2017 16:00:00","BZN|DK1","Without Sequence","29.18","",""
"11/01/2017 16:00:00 - 11/01/2017 17:00:00","BZN|DK1","Without Sequence","29.40","",""
"11/01/2017 17:00:00 - 11/01/2017 18:00:00","BZN|DK1","Without Sequence","29.57","",""
"11/01/2017 18:00:00 - 11/01/2017 19:00:00","BZN|DK1","Without Sequence","29.38","",""
"11/01/2017 19:00:00 - 11/01/2017 20:00:00","BZN|DK1","Without Sequence","29.13","",""
"11/01/2017 20:00:00 - 11/01/2017 21:00:00","BZN|DK1","Without Sequence","28.60","",""
"11/01/2017 21:00:00 - 11/01/2017 22:00:00","BZN|DK1","Without Sequence","27.91","",""
"11/01/2017 22:00:00 - 11/01/2017 23:00:00","BZN|DK1","Without Sequence","26.27","",""
"11/01/2017 23:00:00 - 12/01/2017 00:00:00","BZN|DK1","Without Sequence","9.99","",""
"12/01/2017 00:00:00 - 12/01/2017 01:00:00","BZN|DK1","Without Sequence","0.09","",""
"12/01/2017 01:00:00 - 12/01/2017 02:00:00","BZN|DK1","Without Sequence","0.03","",""
