"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"09/01/2015 11:00:00 - 09/01/2015 12:00:00","BZN|DK1","Without Sequence","27.23","",""
"09/01/2015 12:00:00 - 09/01/2015 13:00:00","BZN|DK1","Without Sequence","27.15","",""
"09/01/2015 13:00:00 - 09/01/2015 14:00:00","BZN|DK1","Without Sequence","27.08","",""
"09/01/2015 14:00:00 - 09/01/2015 15:00:00","BZN|DK1","Without Sequence","27.03","",""
"09/01/2015 15:00:00 - 09/01/2015 16:00:00","BZN|DK1","Without Sequence","27.02","",""
"09/01/2015 16:00:00 - 09/01/2015 17:00:00","BZN|DK1","Without Sequence","27.12","",""
"09/01/2015 17:00:00 - 09/01/2015 18:00:00","BZN|DK1","Without Sequence","27.15","",""
"09/01/2015 18:00:00 - 09/01/2015 19:00:00","BZN|DK1","Without Sequence","27.10","",""
"09/01/2015 19:00:00 - 09/01/2015 20:00:00","BZN|DK1","Without Sequence","27.02","",""
"09/01/2015 20:00:00 - 09/01/2015 21:00:00","BZN|DK1","Without Sequence","26.96","",""
"09/01/2015 21:00:00 - 09/01/2015 22:00:00","BZN|DK1","Without Sequence","26.69","",""
"09/01/2015 22:00:00 - 09/01/2015 23:00:00","BZN|DK1","Without Sequence","21.64","",""
"09/01/2015 23:00:00 - 10/01/2015 00:00:00","BZN|DK1","Without Sequence","14.72","",""
"10/01/2015 00:00:00 - 10/01/2015 01:00:00","BZN|DK1","Without Sequence","21.94","",""
"10/01/2015 01:00:00 - 10/01/2015 02:00:00","BZN|DK1","Without Sequence","25.08","",""
"10/01/2015 02:00:00 - 10/01/2015 03:00:00","BZN|DK1","Without Sequence","20.91","",""
"10/01/2015 03:00:00 - 10/01/2015 04:00:00","BZN|DK1","Without Sequence","20.68","",""
"10/01/2015 04:00:00 - 10/01/2015 05:00:00","BZN|DK1","Without Sequence","21.91","",""
"10/01/2015 05:00:00 - 10/01/2015 06:00:00","BZN|DK1","Without Sequence","12.28","",""
"10/01/2015 06:00:00 - 10/01/2015 07:00:00","BZN|DK1","Without Sequence","7.19","",""
"10/01/2015 07:00:00 - 10/01/2015 08:00:00","BZN|DK1","Without Sequence","9.31","",""
"10/01/2015 08:00:00 - 10/01/2015 09:00:00","BZN|DK1","Without Sequence","11.35","",""
"10/01/2015 09:00:00 - 10/01/2015 10:00:00","BZN|DK1","Without Sequence","15.87","",""
"10/01/2015 10:00:00 - 10/01/2015 11:00:00","BZN|DK1","Without Sequence","15.84","",""
"10/01/2015 11:00:00 - 10/01/2015 12:00:00","BZN|DK1","Without Sequence","14.83","",""
"10/01/2015 12:00:00 - 10/01/2015 13:00:00","BZN|DK1","Without Sequence","15.83","",""
"10/01/2015 13:00:00 - 10/01/2015 14:00:00","BZN|DK1","Without Sequence","14.85","",""
"10/01/2015 14:00:00 - 10/01/2015 15:00:00","BZN|DK1","Without Sequence","11.42","",""
"10/01/2015 15:00:00 - 10/01/2015 16:00:00","BZN|DK1","Without Sequence","11.34","",""
"10/01/2015 16:00:00 - 10/01/2015 17:00:00","BZN|DK1","Without Sequence","14.15","",""
"10/01/2015 17:00:00 - 10/01/2015 18:00:00","BZN|DK1","Without Sequence","17.09","",""
"10/01/2015 18:00:00 - 10/01/2015 19:00:00","BZN|DK1","Without Sequence","18.87","",""
"10/01/2015 19:00:00 - 10/01/2015 20:00:00","BZN|DK1","Without Sequence","13.44","",""
"10/01/2015 20:00:00 - 10/01/2015 21:00:00","BZN|DK1","Without Sequence","15.82","",""
"10/01/2015 21:00:00 - 10/01/2015 22:00:00","BZN|DK1","Without Sequence","11.51","",""
"10/01/2015 22:00:00 - 10/01/2015 23:00:00","BZN|DK1","Without Sequence","11.81","",""
"10/01/2015 23:00:00 - 11/01/2015 00:00:00","BZN|DK1","Without Sequence","5.08","",""
"11/01/2015 00:00:00 - 11/01/2015 01:00:00","BZN|DK1","Without Sequence","0.05","",""
"11/01/2015 01:00:00 - 11/01/2015 02:00:00","BZN|DK1","Without Sequence","-2.06","",""
"11/01/2015 02:00:00 - 11/01/2015 03:00:00","BZN|DK1","Without Sequence","-4.11","",""
"11/01/2015 03:00:00 - 11/01/2015 04:00:00","BZN|DK1","Without Sequence","-5.06","",""
"11/01/2015 04:00:00 - 11/01/2015 05:00:00","BZN|DK1","Without Sequence","-4.12","",""
"11/01/2015 05:00:00 - 11/01/2015 06:00:00","BZN|DK1","Without Sequence","-0.74","",""
"11/01/2015 06:00:00 - 11/01/2015 07:00:00","BZN|DK1","Without Sequence","-0.09","",""
"11/01/2015 07:00:00 - 11/01/2015 08:00:00","BZN|DK1","Without Sequence","0.05","",""
"11/01/2015 08:00:00 - 11/01/2015 09:00:00","BZN|DK1","Without Sequence","0.11","",""
"11/01/2015 09:00:00 - 11/01/2015 10:00:00","BZN|DK1","Without Sequence","4.05","",""
"11/01/2015 10:00:00 - 11/01/2015 11:00:00","BZN|DK1","Without Sequence","5.61","",""
"11/01/2015 11:00:00 - 11/01/2015 12:00:00","BZN|DK1","Without Sequence","9.91","",""
"11/01/2015 12:00:00 - 11/01/2015 13:00:00","BZN|DK1","Without Sequence","8.71","",""
"11/01/2015 13:00:00 - 11/01/2015 14:00:00","BZN|DK1","Without Sequence","0.11","",""
"11/01/2015 14:00:00 - 11/01/2015 15:00:00","BZN|DK1","Without Sequence","0.11","",""
"11/01/2015 15:00:00 - 11/01/2015 16:00:00","BZN|DK1","Without Sequence","0.15","",""
"11/01/2015 16:00:00 - 11/01/2015 17:00:00","BZN|DK1","Without Sequence","6.73","",""
"11/01/2015 17:00:00 - 11/01/2015 18:00:00","BZN|DK1","Without Sequence","13.72","",""
"11/01/2015 18:00:00 - 11/01/2015 19:00:00","BZN|DK1","Without Sequence","12.44","",""
"11/01/2015 19:00:00 - 11/01/2015 20:00:00","BZN|DK1","Without Sequence","14.88","",""
"11/01/2015 20:00:00 - 11/01/2015 21:00:00","BZN|DK1","Without Sequence","9.63","",""
"11/01/2015 21:00:00 - 11/01/2015 22:00:00","BZN|DK1","Without Sequence","9.29","",""
"11/01/2015 22:00:00 - 11/01/2015 23:00:00","BZN|DK1","Without Sequence","10.18","",""
"11/01/2015 23:00:00 - 12/01/2015 00:00:00","BZN|DK1","Without Sequence","0.12","",""
"12/01/2015 00:00:00 - 12/01/2015 01:00:00","BZN|DK1","Without Sequence","9.30","",""
